rank,file,score,dict_count,key_counts,role_token_counts,state_token_counts,example_count
11,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_reverse_partner_vs_sharedB_audit_016.v1.json,135,625,"{""from_A"": 528, ""from_B"": 528, ""from_C"": 528, ""from_slot"": 528, ""lift_q"": 48, ""role_pair"": 48, ""station_role"": 528, ""to_A"": 48, ""to_B"": 48, ""to_C"": 528, ""to_slot"": 48}","{""IW"": 123, ""TI"": 123, ""WX"": 123, ""XY"": 123, ""YZ"": 123, ""ZT"": 123, ""reverse_partner"": 29, ""shared_B"": 29}",{},8
12,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_answer_pair_candidate_universe_audit_022.v1.json,135,183,"{""from_A"": 84, ""from_B"": 84, ""from_C"": 84, ""from_slot"": 84, ""lift_q"": 84, ""role_pair"": 126, ""station_role"": 84, ""to_A"": 84, ""to_B"": 84, ""to_C"": 84, ""to_slot"": 84}","{""IW"": 55, ""TI"": 55, ""WX"": 35, ""XY"": 55, ""YZ"": 55, ""ZT"": 35, ""reverse_partner"": 85, ""shared_B"": 85}",{},8
13,21-gap-a-answer-pair-generator/artifacts/json/synthetic_pair_skeleton_universe_003.v1.json,135,85,"{""from_A"": 48, ""from_B"": 48, ""from_C"": 48, ""from_slot"": 48, ""lift_q"": 48, ""role_pair"": 48, ""station_role"": 48, ""to_A"": 48, ""to_B"": 48, ""to_C"": 48, ""to_slot"": 48}","{""IW"": 29, ""TI"": 29, ""WX"": 29, ""XY"": 29, ""YZ"": 29, ""ZT"": 29, ""reverse_partner"": 61, ""shared_B"": 61}",{},8
14,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_station_transform_map_audit_019.v1.json,135,69,"{""from_A"": 24, ""from_B"": 24, ""from_C"": 24, ""from_slot"": 24, ""lift_q"": 24, ""role_pair"": 48, ""station_role"": 60, ""to_A"": 24, ""to_B"": 24, ""to_C"": 24, ""to_slot"": 24}","{""IW"": 19, ""TI"": 22, ""WX"": 22, ""XY"": 19, ""YZ"": 22, ""ZT"": 19, ""reverse_partner"": 1, ""shared_B"": 28}",{},8
15,21-gap-a-answer-pair-generator/artifacts/json/triangle_frame_assignment_audit_006.v1.json,135,98,"{""from_A"": 24, ""from_B"": 24, ""from_C"": 24, ""from_slot"": 24, ""lift_q"": 24, ""role_pair"": 48, ""station_role"": 24, ""to_A"": 24, ""to_B"": 24, ""to_C"": 24, ""to_slot"": 24}","{""IW"": 18, ""TI"": 18, ""WX"": 18, ""XY"": 18, ""YZ"": 18, ""ZT"": 18, ""reverse_partner"": 37, ""shared_B"": 37}",{},8
16,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_shared_reverse_pair_coupling_audit_021.v1.json,135,53,"{""from_A"": 24, ""from_B"": 24, ""from_C"": 24, ""from_slot"": 24, ""lift_q"": 24, ""role_pair"": 24, ""station_role"": 24, ""to_A"": 24, ""to_B"": 24, ""to_C"": 24, ""to_slot"": 24}","{""IW"": 14, ""TI"": 14, ""WX"": 14, ""XY"": 14, ""YZ"": 14, ""ZT"": 14, ""reverse_partner"": 25, ""shared_B"": 25}",{},8
17,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_sharedB_residual_law_search_017.v1.json,135,103,"{""from_A"": 12, ""from_B"": 12, ""from_C"": 12, ""from_slot"": 12, ""lift_q"": 12, ""role_pair"": 12, ""station_role"": 15, ""to_A"": 12, ""to_B"": 12, ""to_C"": 12, ""to_slot"": 12}","{""IW"": 7, ""TI"": 6, ""WX"": 6, ""XY"": 7, ""YZ"": 6, ""ZT"": 7, ""shared_B"": 16}",{},8
18,18-g900-kernel-admission/artifacts/json/wxyzti_station_transition_feature_inspection_009.v1.json,131,64,"{""edge_role"": 24, ""from_A"": 24, ""from_B"": 24, ""from_C"": 48, ""from_fiber"": 24, ""from_slot"": 24, ""source"": 24, ""station_role"": 24, ""to_A"": 24, ""to_B"": 24, ""to_C"": 48, ""to_fiber"": 24, ""to_slot"": 24}","{""IW"": 12, ""TI"": 12, ""WX"": 12, ""XY"": 12, ""YZ"": 12, ""ZT"": 12, ""reverse_partner"": 14, ""shared_B"": 14}",{},8
19,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_station_transition_feature_inspection_009.v1.json,131,64,"{""edge_role"": 24, ""from_A"": 24, ""from_B"": 24, ""from_C"": 48, ""from_fiber"": 24, ""from_slot"": 24, ""source"": 24, ""station_role"": 24, ""to_A"": 24, ""to_B"": 24, ""to_C"": 48, ""to_fiber"": 24, ""to_slot"": 24}","{""IW"": 12, ""TI"": 12, ""WX"": 12, ""XY"": 12, ""YZ"": 12, ""ZT"": 12, ""reverse_partner"": 14, ""shared_B"": 14}",{},8
20,18-g900-kernel-admission/artifacts/json/c_transition_overlay_delta_generator_001.v1.json,131,67,"{""edge_role"": 48, ""from_A"": 24, ""from_B"": 24, ""from_C"": 24, ""from_fiber"": 48, ""from_slot"": 24, ""reverse_partner"": 2, ""shared_B"": 2, ""to_A"": 24, ""to_B"": 24, ""to_C"": 24, ""to_fiber"": 24, ""to_slot"": 24}","{""IW"": 9, ""TI"": 10, ""WX"": 10, ""XY"": 10, ""YZ"": 10, ""ZT"": 10, ""reverse_partner"": 29, ""shared_B"": 29}",{},8
21,21-gap-a-answer-pair-generator/source/project18_native_chain/json/c_transition_overlay_delta_generator_001.v1.json,131,67,"{""edge_role"": 48, ""from_A"": 24, ""from_B"": 24, ""from_C"": 24, ""from_fiber"": 48, ""from_slot"": 24, ""reverse_partner"": 2, ""shared_B"": 2, ""to_A"": 24, ""to_B"": 24, ""to_C"": 24, ""to_fiber"": 24, ""to_slot"": 24}","{""IW"": 9, ""TI"": 10, ""WX"": 10, ""XY"": 10, ""YZ"": 10, ""ZT"": 10, ""reverse_partner"": 29, ""shared_B"": 29}",{},8
22,18-g900-kernel-admission/artifacts/json/g60_native_overlay_generator_family_search_001.v1.json,131,76,"{""edge_role"": 24, ""from_A"": 24, ""from_B"": 24, ""from_C"": 24, ""from_fiber"": 24, ""from_slot"": 24, ""reverse_partner"": 18, ""shared_B"": 18, ""to_A"": 24, ""to_B"": 24, ""to_C"": 24, ""to_fiber"": 24, ""to_slot"": 24}","{""IW"": 5, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6, ""reverse_partner"": 42, ""shared_B"": 42}",{},8
23,21-gap-a-answer-pair-generator/source/project18_native_chain/json/g60_native_overlay_generator_family_search_001.v1.json,131,76,"{""edge_role"": 24, ""from_A"": 24, ""from_B"": 24, ""from_C"": 24, ""from_fiber"": 24, ""from_slot"": 24, ""reverse_partner"": 18, ""shared_B"": 18, ""to_A"": 24, ""to_B"": 24, ""to_C"": 24, ""to_fiber"": 24, ""to_slot"": 24}","{""IW"": 5, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6, ""reverse_partner"": 42, ""shared_B"": 42}",{},8
24,21-gap-a-answer-pair-generator/artifacts/json/native_rule_member_alignment_012.v1.json,121,112,"{""edge_role"": 72, ""from_A"": 48, ""from_B"": 48, ""from_C"": 48, ""from_fiber"": 24, ""from_slot"": 48, ""reverse_partner"": 14, ""role_pair"": 24, ""shared_B"": 14, ""to_A"": 48, ""to_B"": 48, ""to_C"": 48, ""to_fiber"": 24, ""to_slot"": 48}","{""IW"": 22, ""TI"": 22, ""WX"": 22, ""XY"": 22, ""YZ"": 22, ""ZT"": 22, ""reverse_partner"": 63, ""shared_B"": 63}",{},8
25,21-gap-a-answer-pair-generator/artifacts/json/native_chain_schema_inspection_011.v1.json,112,1636,"{""fiber"": 18, ""from_A"": 5, ""from_B"": 7, ""from_C"": 17, ""lift_q"": 11, ""role_pair"": 6, ""slot"": 5, ""source"": 9, ""station_role"": 3, ""to_A"": 5, ""to_B"": 7, ""to_C"": 18}","{""IW"": 15, ""TI"": 13, ""WX"": 26, ""XY"": 19, ""YZ"": 23, ""ZT"": 16, ""reverse_partner"": 92, ""shared_B"": 68}",{},8
26,18-g900-kernel-admission/artifacts/json/from_c_lift_q_overlay_delta_formula_001.v1.json,101,67,"{""edge_role"": 48, ""from_C"": 48, ""from_fiber"": 48, ""to_C"": 48, ""to_fiber"": 24}","{""IW"": 9, ""TI"": 11, ""WX"": 11, ""XY"": 11, ""YZ"": 11, ""ZT"": 11, ""reverse_partner"": 25, ""shared_B"": 25}",{},8
27,21-gap-a-answer-pair-generator/source/project18_native_chain/json/from_c_lift_q_overlay_delta_formula_001.v1.json,101,67,"{""edge_role"": 48, ""from_C"": 48, ""from_fiber"": 48, ""to_C"": 48, ""to_fiber"": 24}","{""IW"": 9, ""TI"": 11, ""WX"": 11, ""XY"": 11, ""YZ"": 11, ""ZT"": 11, ""reverse_partner"": 25, ""shared_B"": 25}",{},8
28,21-gap-a-answer-pair-generator/artifacts/json/native_members_vs_g60_overlay_edges_014.v1.json,101,29,"{""edge_role"": 24, ""from_C"": 24, ""from_fiber"": 24, ""reverse_partner"": 2, ""shared_B"": 2, ""to_C"": 24, ""to_fiber"": 24}","{""IW"": 6, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6, ""reverse_partner"": 14, ""shared_B"": 14}",{},8
29,21-gap-a-answer-pair-generator/artifacts/json/sharedB_residual_selector_profile_017.v1.json,90,414,"{""edge_role"": 15, ""from_fiber"": 12, ""from_slot"": 12, ""role_pair"": 15, ""target"": 376, ""to_A"": 1, ""to_C"": 1, ""to_fiber"": 13, ""to_slot"": 12}","{""IW"": 8, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 10, ""reverse_partner"": 1, ""shared_B"": 1}",{},8
30,21-gap-a-answer-pair-generator/artifacts/json/source_artifact_schema_inventory_009.v1.json,82,1551,"{""A"": 1, ""B"": 1, ""C"": 1, ""fiber"": 1, ""role"": 1, ""slot"": 1}","{""IW"": 121, ""TI"": 28, ""WX"": 30, ""XY"": 86, ""YZ"": 50, ""ZT"": 57, ""reverse_partner"": 267, ""shared_B"": 205}",{},4
31,18-g900-kernel-admission/artifacts/json/c_transition_role_channel_grammar_audit_004.v1.json,76,51,"{""from_C"": 32, ""lift_q"": 12, ""role_pair"": 26, ""to_C"": 12}","{""IW"": 12, ""TI"": 14, ""WX"": 14, ""XY"": 14, ""YZ"": 12, ""ZT"": 14}",{},8
32,21-gap-a-answer-pair-generator/source/project18_native_chain/json/c_transition_role_channel_grammar_audit_004.v1.json,76,51,"{""from_C"": 32, ""lift_q"": 12, ""role_pair"": 26, ""to_C"": 12}","{""IW"": 12, ""TI"": 14, ""WX"": 14, ""XY"": 14, ""YZ"": 12, ""ZT"": 14}",{},8
33,18-g900-kernel-admission/artifacts/json/c_transition_expected_vs_signed_cut_profile_008.v1.json,71,160,"{""A"": 3, ""B"": 3, ""C"": 3, ""from_C"": 111, ""sign"": 111, ""to_C"": 111}","{""IW"": 7, ""TI"": 7, ""WX"": 7, ""XY"": 7, ""YZ"": 7, ""ZT"": 7}",{},4
34,21-gap-a-answer-pair-generator/artifacts/json/native_rule_member_target_table_013.v1.json,71,16,"{""from_C"": 12, ""reverse_partner"": 1, ""role_pair"": 12, ""shared_B"": 1, ""to_C"": 12}","{""IW"": 7, ""TI"": 7, ""WX"": 7, ""XY"": 7, ""YZ"": 7, ""ZT"": 7, ""reverse_partner"": 2, ""shared_B"": 2}",{},8
35,18-g900-kernel-admission/artifacts/json/role_block_directed_transition_selector_006c.v1.json,71,10,"{""A"": 2, ""B"": 2, ""C"": 2}","{""IW"": 6, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6}",{},4
36,21-gap-a-answer-pair-generator/source/project18_native_chain/json/role_block_directed_transition_selector_006c.v1.json,71,10,"{""A"": 2, ""B"": 2, ""C"": 2}","{""IW"": 6, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6}",{},4
37,18-g900-kernel-admission/artifacts/json/role_block_signed_edge_transition_derivation_007.v1.json,71,15,"{""A"": 2, ""B"": 2, ""C"": 2}","{""IW"": 5, ""TI"": 5, ""WX"": 5, ""XY"": 5, ""YZ"": 5, ""ZT"": 5}",{},3
38,18-g900-kernel-admission/artifacts/json/c_transition_delta_lift_decomposition_001.v1.json,70,64,"{""edge_role"": 24, ""from_fiber"": 24, ""reverse_partner"": 1, ""shared_B"": 1}","{""IW"": 5, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6, ""reverse_partner"": 13, ""shared_B"": 13}",{},8
39,21-gap-a-answer-pair-generator/source/project18_native_chain/json/c_transition_delta_lift_decomposition_001.v1.json,70,64,"{""edge_role"": 24, ""from_fiber"": 24, ""reverse_partner"": 1, ""shared_B"": 1}","{""IW"": 5, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6, ""reverse_partner"": 13, ""shared_B"": 13}",{},8
40,18-g900-kernel-admission/artifacts/json/wxyzti_allowed_pair_rule_search_013.v1.json,66,772,"{""from_C"": 11, ""role_pair"": 11, ""target"": 252}","{""IW"": 14, ""TI"": 8, ""WX"": 8, ""XY"": 8, ""YZ"": 14, ""ZT"": 8}",{},8
41,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_allowed_pair_rule_search_013.v1.json,66,772,"{""from_C"": 11, ""role_pair"": 11, ""target"": 252}","{""IW"": 14, ""TI"": 8, ""WX"": 8, ""XY"": 8, ""YZ"": 14, ""ZT"": 8}",{},8
42,18-g900-kernel-admission/artifacts/json/c_transition_station_role_cover_audit_003b.v1.json,63,17,"{""from_C"": 12, ""lift_q"": 12, ""reverse_partner"": 2, ""shared_B"": 2, ""to_C"": 12}","{""IW"": 7, ""TI"": 7, ""WX"": 7, ""XY"": 7, ""YZ"": 7, ""ZT"": 7, ""reverse_partner"": 15, ""shared_B"": 15}",{},8
43,21-gap-a-answer-pair-generator/source/project18_native_chain/json/c_transition_station_role_cover_audit_003b.v1.json,63,17,"{""from_C"": 12, ""lift_q"": 12, ""reverse_partner"": 2, ""shared_B"": 2, ""to_C"": 12}","{""IW"": 7, ""TI"": 7, ""WX"": 7, ""XY"": 7, ""YZ"": 7, ""ZT"": 7, ""reverse_partner"": 15, ""shared_B"": 15}",{},8
44,21-gap-a-answer-pair-generator/artifacts/json/context_dependent_endpoint_profile_016.v1.json,61,322,"{""edge_role"": 6, ""reverse_partner"": 7, ""role_pair"": 9, ""shared_B"": 7, ""target"": 280, ""to_A"": 2, ""to_B"": 2, ""to_C"": 2, ""to_fiber"": 2, ""to_slot"": 2}","{""IW"": 6, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6, ""reverse_partner"": 9, ""shared_B"": 11}",{},8
45,16-fifteen-thalion-ring/support/artifacts/json/281_g900_census_object_rule_candidate.json,61,18,"{""role"": 5}","{""IW"": 2, ""TI"": 4, ""WX"": 4, ""XY"": 4, ""YZ"": 4, ""ZT"": 4}",{},3
46,21-gap-a-answer-pair-generator/artifacts/json/c_transition_block_order_derivation_021.v1.json,50,26,"{""edge_role"": 12, ""role_pair"": 12}","{""IW"": 13, ""TI"": 11, ""WX"": 11, ""XY"": 13, ""YZ"": 11, ""ZT"": 13, ""shared_B"": 5}",{},8
47,21-gap-a-answer-pair-generator/artifacts/json/sharedB_motion_component_structure_020.v1.json,50,28,"{""edge_role"": 12, ""role_pair"": 12}","{""IW"": 16, ""TI"": 8, ""WX"": 8, ""XY"": 16, ""YZ"": 8, ""ZT"": 16, ""shared_B"": 1}",{},8
48,21-gap-a-answer-pair-generator/artifacts/json/sharedB_selection_matrix_024.v1.json,49,19,"{""columns"": 4}","{""IW"": 13, ""XY"": 13, ""ZT"": 13, ""shared_B"": 1}",{},4
49,22-lift-and-twist/source/project21_artifacts/json/sharedB_selection_matrix_024.v1.json,49,19,"{""columns"": 4}","{""IW"": 13, ""XY"": 13, ""ZT"": 13, ""shared_B"": 1}",{},4
50,18-g900-kernel-admission/artifacts/json/context_dependent_overlay_delta_rules_001.v1.json,48,103,"{""reverse_partner"": 1, ""shared_B"": 1}","{""IW"": 2, ""TI"": 3, ""WX"": 3, ""XY"": 3, ""YZ"": 3, ""ZT"": 3, ""reverse_partner"": 2, ""shared_B"": 2}",{},2
51,21-gap-a-answer-pair-generator/source/project18_native_chain/json/context_dependent_overlay_delta_rules_001.v1.json,48,103,"{""reverse_partner"": 1, ""shared_B"": 1}","{""IW"": 2, ""TI"": 3, ""WX"": 3, ""XY"": 3, ""YZ"": 3, ""ZT"": 3, ""reverse_partner"": 2, ""shared_B"": 2}",{},2
52,21-gap-a-answer-pair-generator/artifacts/json/realized_free_variable_table_004.v1.json,45,17,"{""role_pair"": 12}","{""IW"": 6, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6}",{},8
53,18-g900-kernel-admission/artifacts/json/gap_a_wxyzti_role_block_selector_checkpoint_006c.v1.json,45,11,"{""A"": 1, ""B"": 1, ""C"": 1, ""role_pair"": 3}","{""IW"": 2, ""TI"": 3, ""WX"": 3, ""XY"": 3, ""YZ"": 3, ""ZT"": 3}",{},4
54,21-gap-a-answer-pair-generator/source/project18_native_chain/json/gap_a_wxyzti_role_block_selector_checkpoint_006c.v1.json,45,11,"{""A"": 1, ""B"": 1, ""C"": 1, ""role_pair"": 3}","{""IW"": 2, ""TI"": 3, ""WX"": 3, ""XY"": 3, ""YZ"": 3, ""ZT"": 3}",{},4
55,21-gap-a-answer-pair-generator/source/project18_artifacts/json/gap_a_wxyzti_role_block_selector_checkpoint_006c.v1.json,45,11,"{""A"": 1, ""B"": 1, ""C"": 1, ""role_pair"": 3}","{""IW"": 2, ""TI"": 3, ""WX"": 3, ""XY"": 3, ""YZ"": 3, ""ZT"": 3}",{},4
56,18-g900-kernel-admission/artifacts/json/c_transition_role_block_circulation_audit_005.v1.json,45,13,"{""role_pair"": 3}","{""IW"": 6, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6}",{},4
57,21-gap-a-answer-pair-generator/source/project18_native_chain/json/c_transition_role_block_circulation_audit_005.v1.json,45,13,"{""role_pair"": 3}","{""IW"": 6, ""TI"": 6, ""WX"": 6, ""XY"": 6, ""YZ"": 6, ""ZT"": 6}",{},4
58,21-gap-a-answer-pair-generator/artifacts/json/g60_overlay_generator_family_reading_015.v1.json,44,56,"{""reverse_partner"": 19, ""shared_B"": 19}","{""IW"": 2, ""TI"": 3, ""WX"": 3, ""XY"": 3, ""YZ"": 3, ""ZT"": 3, ""reverse_partner"": 31, ""shared_B"": 31}",{},3
59,21-gap-a-answer-pair-generator/artifacts/json/sharedB_16_candidate_selector_search_023.v1.json,44,350,{},"{""IW"": 139, ""TI"": 27, ""WX"": 21, ""XY"": 80, ""YZ"": 27, ""ZT"": 86, ""reverse_partner"": 1}",{},8
60,21-gap-a-answer-pair-generator/source/project18_artifacts/json/gap_a_wxyzti_pair_grammar_checkpoint_021.v1.json,44,9,{},"{""IW"": 2, ""TI"": 4, ""WX"": 4, ""XY"": 4, ""YZ"": 4, ""ZT"": 4, ""reverse_partner"": 4, ""shared_B"": 4}",{},2
61,18-g900-kernel-admission/artifacts/json/wxyzti_station_affine_law_search_015.v1.json,41,265,"{""station_role"": 6, ""target"": 182}","{""IW"": 17, ""TI"": 18, ""WX"": 18, ""XY"": 14, ""YZ"": 18, ""ZT"": 14, ""reverse_partner"": 9, ""shared_B"": 7}",{},7
62,21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_station_affine_law_search_015.v1.json,41,265,"{""station_role"": 6, ""target"": 182}","{""IW"": 17, ""TI"": 18, ""WX"": 18, ""XY"": 14, ""YZ"": 18, ""ZT"": 14, ""reverse_partner"": 9, ""shared_B"": 7}",{},7
63,18-g900-kernel-admission/artifacts/json/c_transition_support_canonical_audit_002.v1.json,41,29,"{""C"": 15, ""from_C"": 12, ""lift_q"": 12, ""source"": 1, ""to_C"": 12}","{""TI"": 1, ""WX"": 1, ""XY"": 1, ""YZ"": 1, ""ZT"": 1}",{},1
64,21-gap-a-answer-pair-generator/source/project18_native_chain/json/c_transition_support_canonical_audit_002.v1.json,41,29,"{""C"": 15, ""from_C"": 12, ""lift_q"": 12, ""source"": 1, ""to_C"": 12}","{""TI"": 1, ""WX"": 1, ""XY"": 1, ""YZ"": 1, ""ZT"": 1}",{},1
65,21-gap-a-answer-pair-generator/artifacts/json/dodecahedral_register_incidence_test_019.v1.json,41,57,"{""edge_role"": 24}","{""IW"": 5, ""TI"": 5, ""WX"": 5, ""XY"": 5, ""YZ"": 5, ""ZT"": 5, ""reverse_partner"": 2, ""shared_B"": 2}",{},8
66,18-g900-kernel-admission/artifacts/json/c_transition_schema_inspection_003a.v1.json,40,237,"{""source"": 100}","{""IW"": 10, ""TI"": 9, ""WX"": 10, ""XY"": 9, ""YZ"": 10, ""ZT"": 10}",{},1
67,21-gap-a-answer-pair-generator/source/project18_native_chain/json/c_transition_schema_inspection_003a.v1.json,40,237,"{""source"": 100}","{""IW"": 10, ""TI"": 9, ""WX"": 10, ""XY"": 9, ""YZ"": 10, ""ZT"": 10}",{},1
68,21-gap-a-answer-pair-generator/artifacts/json/source_address_fingerprint_audit_008.v1.json,40,60,"{""target"": 58}","{""IW"": 1, ""TI"": 1, ""WX"": 1, ""XY"": 1, ""YZ"": 1, ""ZT"": 1}",{},1
69,21-gap-a-answer-pair-generator/artifacts/json/free_variable_relation_search_005.v1.json,40,153,"{""target"": 47}","{""IW"": 1, ""TI"": 1, ""WX"": 1, ""XY"": 1, ""YZ"": 1, ""ZT"": 1}",{},1
